categ_id,name,default_code,lst_price
MM,PALETAS PROFESIONALES @Rubor Compacto-  Paleta de rubores -14 tonos.( x 4g.c/u.),1200P,3500
MM,"PALETAS PROFESIONALES @Labial Humectante - Paleta de labiales -32 unid.( x 2,5g.c/u.)",1501P,1836
MM,Rubor Cremoso Paleta Multifunción- 15 tono x 4g.c/u. @LABIOS-POMULOS,1221P,1400
MM,"Labial Humectante Mini Paleta- 6 unid. x 2,5g.c/u. @Gama de Rosas",1502P-01,325
MM,"Labial Humectante Mini Paleta- 6 unid. x 2,5g.c/u. @Gama de Anaranjados",1502P-02,325
MM,"Labial Humectante Mini Paleta- 6 unid. x 2,5g.c/u. @Gama de Marrones",1502P-03,325
MM,"Labial Humectante Mini Paleta- 6 unid. x 2,5g.c/u. @Gama de Rojos",1502P-04,325
MM,"Labial Mate Mini Paleta- 6 unid. x 2,5g.c/u. @Gama de Rosas",1503P-01,475
MM,"Labial Mate Mini Paleta- 6 unid. x 2,5g.c/u. @Gama de Temporada",1503P-02,475
MM,Petaca  Negra Vacía para 1 Repuesto x 37mm. ( Pack x 6 Unidades)   Art. Individual 2020P,2022,516
MM,Kit con : Set de Bases Alta cobertura Ultra HD + Unificador de Texturas HD + Porta Cosmeticos CristalSalmon,2000P-03,257
MM,Kit con : Set de Bases Alta cobertura Ultra HD + Unificador de Texturas HD + Porta Cosmeticos CristalAnaranjado,2000P-04,257
MM,Kit con : Set de Bases Alta cobertura Ultra HD + Unificador de Texturas HD + Porta Cosmeticos CristalAmarillo,2000P-06,257
MM,Kit con : Set de Bases Alta cobertura Ultra HD + Unificador de Texturas HD + Porta Cosmeticos CristalMarron Africano,2000P-09,257
MM,Kit con : Set de Bases Alta cobertura Ultra HD + Unificador de Texturas HD + Porta Cosmeticos CristalBeige Amarillento,2000P-11,257
MM,Kit con : Set de Bases Alta cobertura Ultra HD + Unificador de Texturas HD + Porta Cosmeticos CristalBeige Grisado,2000P-12,257
